original_dosc;score
ет. Нам не нужны Мухин и Бинх в качестве начальников. Их уже насадили в вузах - они заведуют каждой кафедрой каждого вуза.Теперь они хотят прийти и в РАН.избавить РАН от паразитов и оставить там только талантливых людей  чтобы было поменьше бумажек и побольше вдохновения с искоркой в глазахКогда такое прочитаешь  глаза на лоб лезут. Пока не посмотришь на информацию о пользователе  и не узнаешь  что вы закончили наш институт. Глазки-то разуйте  посмотрите на институт  который Вы закончили.Там уже сидит чиновник на чиновнике. Абдулатипов  Добросоцкий  Косачёв  и даже совсем уж комичный комсомольский лидер Зайдфудим;-1
ровой сильный кандидат и достойный противник. Если суд снимает кандидата  значит боятся  что Яровой может победить. Районная Избирательная Комиссия имеет полномочия принятия документов  обязана после принятия документов оповестить кандидата о тех или иных нарушениях и только после этого передавать документы в ниже стоящую избирательную комиссию.Закон о выборах в органы местного самоуправления в Астраханской области: 12. Избирательные комиссии обязаны в пределах своей компетенции рассматривать поступившие к ним в период избирательной кампании обращения о нарушении закона  проводить проверки по этим обращениям и давать лицам  направившим обращения  письменные ответы в пятидневный срок  но не позднее дня  предшествующего дню голосования  а по обращениям  поступившим в день голосования или в день  следующий за днем голосования  - немедленно. Если факты  содержащиеся в указанных обращениях  требуют дополнительной проверки  решения по ним принимаются не позднее чем в десятидневный срок. Если в обращении указывается на нарушение закона кандидатом  избирательным объединением  этот кандидат  избирательное объединение должны быть незамедлительно оповещены о поступлении указанного обращения. Кандидат  избирательное объединение вправе давать объяснения по существу обращения.( Яровому сообщили о нарушениях?)13;0
 гомоцистеином по-видимому довольно просто экспериментировать. Что было сделано в экспериментах на животных  чтобы доказать гомоцистеиновую природу сосудистой патологии?Нет ли естестественного депо гомоцистеина в определенных органах и/или тканях?Как Вы объясняете снижение заболеваемости инфарктами/инсультами и увеличение продолжительности жизни при употреблении статинов? Как Вы понимаете  заклинания про манипуляции со статистикой тут  не катят   цифры настоящие.    Да  теория так себе... Сейчас развивают новую - об антиимфламматорной активности статинов  видимо от безысходности. Теперь про комплекс фосфатидилхолина с холестерином 1:1  он существует в структурированных элементах  например мембранах и в желчи  т.е. там где организм управляет составом. А вот свободный фосфатидилхолин циркулирует по организму сам по себе;-1
о турки беспрепятственно разврешают американским авианосцам длительное время находиться в проливной зоне. В случае войны никто эти ограничения соблюдать не будет  что показывает практический переход американцев к постоянному присутствию их боевых кораблей в Черном море. Ссылка на плохие погодные условия на Севере и в Баренцевом море просто не состоятельна. Там постоянно базируется и оперирует до последнего времени самый большой Северный флот  в составе которого тоже есть авианосец  Николай Кузнецов . В этом же районе до передачи индусам отрабатывал полный курс боевых задач авианосец  Викрамадитья  (бывший  Адмирал Горшков ). Вопрос только в том  когда и какие задачи будут поставлены американским авианосным группам и соединениям в предполагаемом конфликте. И что в этом случае мы сейчас можем им противопоставить;0
У меня нет достаточной информации  чтобы сделать какие-то окончательные выводы. Просто интуиция подсказывает  что что-то там не в порядке. Потом есть еще существенный момент: Мне не кажется  что Толоконникова достаточно взрослый человек. Как и другие члены группы. Их поведение детское  что ли (собственно  я послушала немного их на суде). Или похоже на подростковое. А довольно странно было бы гнобить подростков. Совершенно не справедливое наказание.    Про яркость в точку) Будем надеяться  что именно этим и поможет немного: и Хасис  и остальным.;0
то для этого надо? Сотрудничество  женщины и мужчины и поддержание первопричин. Именно сотрудничество  а не соперничество. Можно это оспаривать   но естественному ходу развития общества плевать на наши неестественные попытки. У  природы нет эмоций  зато есть естественный отбор и вырождение  а если благодаря борьбе полов  мы изменим свои изначальные признаки и предназначения  то вымрем  она - природа просто заменит нас другим боле перспективным видом.Может и нужно гордиться достижениями женщин штангисток  а мне грустно... физиология  господа  жутко упрямая штука. Мы рассчитаны на разное применение.:-) (Пардон за типичную для технаря формулировку).Доброго вечера;0
акой дебил сделал две полосы с Ленина  когда там всегда хватало одной  и одну полосу на мост  когда там всегда поворачивающие вставали в 2 ряда? Очевидно  готовятся к перестроению потока с поворотом с Масленникова- но там и так хватит места по одной полосе  потому что пока едут с Масленникова- с Ленина потока не будет. Там главная проблема была в повороте от Ленинградская пл.2 на Масленникова  когда поток перекрывался с Ленинским и в Левом повороте с Масленникова на Ленина-Ленинградскую площадь. С учетом готовящегося светофора у дома мод и правой стрелки на Масленникова  при наличии светофора на набережной  я бы восстановил 2 полосы у Ленинградской пл.1   а если возможно  добавил бы еще одну полосу в этом направлении- (не очень дорого это стоит  если не воровать) и запретил бы левый поворот у Масленникова 2  зато пустил бы эти машины под мостом в противофазе со сворачивающими. Вот так http://foto.mail.ru/mail/kriwor/157/162Хотя  конечно  надо внимательно просчитать все варианты  чтобы снова не получился анус :)  с учетом закртыия Маркса поток по Набережной возрасет в разы. Тогда эти два светофора полснотью заблокируют движение  вертолет ))) у нас уже есть пример  просто три полосы без сплошной;-1
 вот философы могут себе позволить вольности  их ошибки выявляются тысячилетиями.Однако  в любом случае это происходит.Поэтому  когда делом руководит  технарь   пусть в  непривыхной для него области  руководства людьми  то он практически не делает ошибок  то есть не воюет с природой объекта. Когда  тем же самым занимается гуманитарий  толку в конечном итоге от такой деятельности немного  скорее вред.В целях иллюстрации мысли сравним две команды управленцев - коммунистов  и тех  кому имя давать не стану  ни потому  что обидятся а в следствии вульгарности общеизвестного термина (на самом деле  кто серьезно относится к названию  новые русские ?).Одни сумели разрушить и создать  другие и сломать не смогли и тем более ничего не создали.При этом нехочу никого обижать просто заметить  что технари давно уже не пользуются допотопным оборудованием а гуманитарии до сих пор используют диалектику.Вот это то и различает их методы в настоящее время. Тут внимательные опоненты давно хотят спросить  как я Сталина занес в технари? Он ведь...;-1
Только не в макаронного  а в усатого.В Германии тоже в усатого  но там усы поменьше.Атеисты были в большинстве  разве Вы не знаете ? Они и проливают больше всего крови бомбами  наравне с магометанами  которые раньше больше ножами и мечами орудовали. Один геноцид армян с вырезанием миллионов чего стоит.Холокост  голодомор  геноцид армян и христиан в Турции обьединяет и тех и других в борьбе с человечеством и христианами. Теперь вот в Сирии маньяки работают.  Бедные несчастные армяне. Великий многострадальный народ  конечно. Только не удивляетесь если через лет эдак 50-60 (конечно если мы доживем) вдруг окажется  что Краснодарский край исконно армянские земли.;0
Угу  попа...Тем не менее  доброе утро!  вчера тоже лежала болезная как какая буча так жижу досят заебали.  салоебы всему виной если ты не в курсе  приветики! мы сегодня медленные)))  Ахахаха.только рома пришел на работу  только угнездился в крутом кресле  включил комп и собрался поработать как жж отключили.зы ниче  с 5 раза пробивает.  Ощущение  что всё делается спецом...  Доброе)  вечером еще более-менее шустро бегала  кстати  а седня ошибка 400 постоянно.  я подозревал  что это так.  да я в перерывах между работой))кстати долбится новая форма каментов  как обычно.;1
Я попался: пошёл. Сперва железная лестница на высоту где-то восьмого-девятого этажа  потом - полустёртые  мечтами обвалившиеся ступени  где-то в качестве ограждения низенькие-низенькие перильца - на уровне чуть выше колена  - где-то к скале приделана верёвка  чтобы держаться  а ограждения нету  где и вовсе никак не огорожено. Какие двадцать минут - все сорок  и всё в основном почти на четвереньках :) А для чего? В конце тропы - маленькая обзорная площадка  с которой виден ВДАЛИ этот самый Намасо-но таки...В деревне был ещё  Konnyaku Gokaisho  - музей конняку с коннячным рестораном при нём (или наоборот - музей при ресторане)  но он  к сожадению  закрылся. Возможно  заметили - строение  напоминающее помесь храма и самурайского дома  увенчанный золотистой фигурой  отдалённо напоминающее онсенный знаке  кураге  - шар с тремя такими хвостами вверх  призванный обозначать клубень конняку с ростками... почему не цветок  интересно? Цветок у конняку красивый...Что касается натто - скорее всего  когда-то полдюбите. Я от него тоже шарахался поначалу  а как-то по ошибке купил онегири с натто и  не глядя  откусил  оказалось вкусно...  Очень красивые места! И такие приятные женщины!Получила удовольствие от рассказа  спасибо!   какое отличное однодневное путешествие. интересно было  присоединиться  )спасибо  Поздравляем! Ваш пост был отобран нашими корреспондентами и опубликован в сегодняшнем выпуске 'а.  Очень интересно и красоты неописуемые. Только по фото замерзшего водопада с альпенистами  поняла какой он огромный.И национальные  деликатесы  произвели впечатление и тарелочки в ресторане  разглядывала дольше чем еду)))А почему помидоры вместе с клубникой на тарелочке?  А конняку и на вкус никакое.;0
одмена понятий в интересах узкой группы лиц. Короче не быть таким  фанатиком   быть либо пофигистом  либо самоубийцей. В чем собственно российское общество прогрессирует. Да развал СССР неоспоримое тому доказательство.Да и та война которая сейчас развернулась даже не с христианством  а с остатками христианского менталитета в Европе дает понять  что нынешним хозяевам жизни взят курс на уничтожение большей части человечества. Плодитесь и размножайтесь уже не катит. Экологию  ресурсы понимаешь надо беречь для избранных. И попробуй не поверь теперь  что приходит то время  о котором задолго предупреждали и о едином правительстве/правителе  и одном мировом государстве.    не нужно сваливать всё в одну кучу: фанатиков  циников  толкающих фанатиков на смерть  обычных людей  которые  защищая свою землю  в том числе заблуждаясь в своих правителях  но искренне любящих свою землю  идущих на смерть и т. д;-1
